美元	$|💵|💲
掌心向上托起	🤲
自拍	🤳
小王子	🤴
王子	🤴
女新郎	🤵‍♀️
新郎	🤵‍♂️
燕尾服	🤵‍♂️
礼服	🤵‍♂️
西服	🤵‍♂️
西装	🤵‍♂️
圣诞夫人	🤶
圣诞奶奶	🤶
不关心	🤷‍♂️|🤷‍♀️
不知道	🤷‍♂️|🤷‍♀️
与我无关	🤷‍♂️|🤷‍♀️
耸肩	🤷‍♂️|🤷‍♀️
谁知道	🤷‍♂️|🤷‍♀️
谁知道呢	🤷‍♂️|🤷‍♀️
侧手翻	🤸‍♂️|🤸‍♀️
翻筋斗	🤸‍♂️|🤸‍♀️
翻跟头	🤸‍♂️|🤸‍♀️
抛接	🤹‍♂️|🤹‍♀️
抛接杂耍	🤹‍♂️|🤹‍♀️
杂耍	🤹‍♂️|🤹‍♀️
击剑	🤺
击剑者	🤺
击剑选手	🤺
剑斗	🤺
摔跤	🤼‍♂️|🤼‍♀️
摔跤选手	🤼‍♂️|🤼‍♀️
格斗	🤼‍♂️|🤼‍♀️
女子水球	🤽‍♀️
女生玩水球	🤽‍♀️
水球	🤽‍♂️|🤽‍♀️
玩水球	🤽‍♂️|🤽‍♀️
男子水球	🤽‍♂️
男生玩水球	🤽‍♂️
女子手球	🤾‍♀️
女生打手球	🤾‍♀️
女生玩手球	🤾‍♀️
手球	🤾‍♂️|🤾‍♀️
打手球	🤾‍♂️|🤾‍♀️
玩手球	🤾‍♂️|🤾‍♀️
男子手球	🤾‍♂️
男生打手球	🤾‍♂️
男生玩手球	🤾‍♂️
深潜	🤿
潜水	🤿
潜水面罩	🤿
凋谢	🥀
枯萎	🥀
枯萎的玫瑰	🥀
枯萎的花	🥀
打鼓	🥁
敲鼓	🥁
鼓	🥁
一杯	🥃
一杯酒	🥃
威士忌	🥃
平底杯	🥃
烈酒	🥃
玻璃杯	🥃
勺子	🥄
匙子	🥄
汤勺	🥄
汤匙	🥄
球网	🥅
球门	🥅
球门网	🥅
金牌	🥇
银牌	🥈
铜牌	🥉
拳击	🥊
拳击手套	🥊
柔道服	🥋
武术服	🥋
空手道服	🥋
跆拳道服	🥋
冰上溜石	🥌
冰壶	🥌
溜石	🥌
袋棍球	🥍
垒球	🥎
飞盘	🥏
新月形面包	🥐
牛角面包	🥐
羊角面包	🥐
可颂	🥐
牛角包	🥐
羊角包	🥐
牛油果	🥑
鳄梨	🥑
青瓜	🥒
黄瓜	🥒
培根	🥓
烟肉	🥓
熏咸肉	🥓
熏肉	🥓
土豆	🥔
洋芋	🥔
马铃薯	🥔
胡萝卜	🥕
法式长棍面包	🥖
法棍	🥖
长棍面包	🥖
长面包	🥖
沙拉	🥗
绿色沙拉	🥗
蔬菜沙拉	🥗
一锅食物	🥘|🍲
火锅	🥘|🍲
食物	🥘|🍲
皮塔三明治	🥙
蛋	🥚
蛋蛋	🥚
鸡蛋	🥚
一杯奶	🥛
杯子	🥛
牛奶	🥛
牛奶杯	🥛
花生	🥜
落花生	🥜
奇异果	🥝
猕猴桃	🥝
烙饼	🥞
煎饼	🥞|🌯
薄煎饼	🥞
蛋饼	🥞
水饺	🥟
饺子	🥟
幸运饼干	🥠
外卖包装	🥡
外卖桶	🥡
外卖盒	🥡
筷子	🥢
放着勺的碗	🥣
汤	🥣
汤碗	🥣
碗	🥣
碗勺	🥣
吸管杯	🥤
外带杯子	🥤
带吸管杯	🥤
饮料	🥤
椰子	🥥
椰子果	🥥
绿花椰菜	🥦
绿菜花	🥦
花椰菜	🥦
西蓝花	🥦
青花菜	🥦
油酥点心	🥧
派	🥧
点心	🥧
苹果派	🥧
椒盐卷饼	🥨
牛排	🥩
猪排	🥩
羊排	🥩
肉排	🥩
三明治	🥪
罐头	🥫
罐头食品	🥫
圆白菜	🥬
小白菜	🥬
白菜	🥬
绿叶蔬菜	🥬
蔬菜	🥬
菜叶	🥬
芒果	🥭
丰收饼	🥮
团圆饼	🥮
月团	🥮
月饼	🥮
烘焙	🥯
百吉圈	🥯
百吉饼	🥯
面包圈	🥯
喜笑颜开	🥰
坠入爱河	🥰
幸福	🥰
爱心环绕	🥰
爱慕	🥰
迷恋	🥰
陷入爱河	🥰
呵欠	🥱
哈欠	🥱
困	🥱|😪
困了	🥱|😪
困倦	🥱|😪
打呵欠	🥱
打哈欠	🥱
含泪的笑脸	🥲
含泪笑脸	🥲
欣慰	🥲
party	🥳
庆祝	🥳|🎉
开party	🥳
开淫趴	🥳
开趴	🥳
开银趴	🥳
派对	🥳|🎉
派对脸	🥳
喝多	🥴
喝多了	🥴
喝醉	🥴
喝醉了	🥴
微醺	🥴
昏昏沉沉	🥴
酒醉	🥴
醉了	🥴
发热	🥵
好热	🥵
很热	🥵
炎热	🥵
热	🥵
热死	🥵
热死了	🥵
爆辣	🥵
脸发烧	🥵
超级辣	🥵
超辣	🥵
辣	🥵
辣死	🥵
辣死了	🥵
冰冷	🥶
冷	🥶
冷冰冰	🥶
冷死	🥶
冷死了	🥶
冷脸	🥶
冻僵	🥶
冻僵了	🥶
冻死	🥶
冻死了	🥶
发冷	🥶
好冷	🥶
很冷	🥶
满面寒霜	🥶
忍术	🥷
忍者	🥷
伪装	🥸
伪装的脸	🥸
隐瞒身份	🥸
含泪	🥹
委屈	🥹
强忍泪水	🥹
忍住泪水	🥹
要哭了	🥹
可怜	🥺
可怜兮兮	🥺
好嘛	🥺
恳求	🥺
求求	🥺
请求	🥺
纱丽	🥻
实验室外衣	🥼
白大褂	🥼
白大褂儿	🥼
护目镜	🥽
泳镜	🥽
游泳镜	🥽
登山鞋	🥾
平底鞋	🥿
螃蟹	🦀
蟹	🦀
蟹老板	🦀
狮	🦁
狮头	🦁
狮子	🦁
狮子头	🦁
狮子脸	🦁
狮脸	🦁
蝎子	🦂
火鸡	🦃
独角兽	🦄
独角兽头	🦄
独角兽脸	🦄
老鹰	🦅
鹰	🦅
嘎嘎	🦆
小鸭子	🦆
鸭	🦆
鸭子	🦆
蝙蝠	🦇
蟙䘃	🦇
大白鲨	🦈
白鲨	🦈
鲨鱼	🦈
猫头鹰	🦉
鸮	🦉
狐狸	🦊
狐狸头	🦊
狐狸脸	🦊
凤尾蝶	🦋
蝴蝶	🦋
小鹿	🦌
鹿	🦌
麋鹿	🦌
大猩猩	🦍
猩猩	🦍|🦧
壁虎	🦎
蜥蜴	🦎
犀牛	🦏
大虾	🦐
对虾	🦐
虾	🦐
乌贼	🦑
墨鱼	🦑
鱿鱼	🦑
长颈鹿	🦒
麒麟鹿	🦒
斑马	🦓
刺猬	🦔
恐龙	🦕|🦖
梁龙	🦕
腕龙	🦕
雷龙	🦕
暴龙	🦖
霸王龙	🦖
蚱蜢	🦗
蛐蛐	🦗
蟋蟀	🦗
袋鼠	🦘
羊驼	🦙
草泥马	🦙
孔雀	🦚
河马	🦛
鹦鹉	🦜
小浣熊	🦝
干脆面	🦝
干脆面君	🦝
浣熊	🦝
小龙虾	🦞
麻辣小龙虾	🦞
龙虾	🦞
蚊子	🦟
蚊虻	🦟
蚊蝇	🦟|🪰
变形虫	🦠
微生物	🦠
病毒	🦠
病菌	🦠
细菌	🦠
狗獾	🦡
獾	🦡
蜜獾	🦡
丑小鸭	🦢
天鹅	🦢
白天鹅	🦢
猛犸	🦣
长毛象	🦣
渡渡鸟	🦤
慢吞吞	🦥
树懒	🦥
树懒先生	🦥
水獭	🦦
海獭	🦦
人猿	🦧
红毛猩猩	🦧
臭鼬	🦨
鼬	🦨
火烈鸟	🦩
牡蛎	🦪
生蚝	🦪
蚝蛎	🦪
河狸	🦫
海狸	🦫
大野牛	🦬
野牛	🦬
海狮	🦭
海豹	🦭
导盲犬	🦮
金毛	🦮
金毛寻回犬	🦮
金毛犬	🦮
手杖	🦯
白手杖	🦯
赤发	🦰
骨头	🦴
骨骼	🦴
大腿	🦵
练腿	🦵
腿	🦵
腿儿	🦵
脚	🦶
脚丫	🦶
脚丫子	🦶
足	🦶
踢	🦶
踩	🦶
牙	🦷
牙牙	🦷
牙齿	🦷
女超人	🦸‍♀️
女超级英雄	🦸‍♀️
男超人	🦸‍♂️
男超级英雄	🦸‍♂️
超人	🦸‍♂️|🦸‍♀️
超级英雄	🦸‍♂️|🦸‍♀️
女反派	🦹‍♀️
女坏蛋	🦹‍♀️
女大反派	🦹‍♀️
女超级大反派	🦹‍♀️
反派	🦹‍♂️|🦹‍♀️
坏蛋	🦹‍♂️|🦹‍♀️
大反派	🦹‍♂️|🦹‍♀️
男反派	🦹‍♂️
男坏蛋	🦹‍♂️
男大反派	🦹‍♂️
男超级大反派	🦹‍♂️
超级大反派	🦹‍♂️|🦹‍♀️
安全背心	🦺
救生衣	🦺
助听器	🦻
听力障碍	🦻
戴助听器的耳朵	🦻
电动轮椅	🦼|👨‍🦼|👩‍🦼
手动轮椅	🦽|👨‍🦽|👩‍🦽
残疾人	🦽
轮椅	🦽|♿
义体	🦾|🦿
义肢	🦾|🦿
机械手臂	🦾
机械臂	🦾
赛博朋克	🦾|🦿
机械腿	🦿
奶酪	🧀
芝士	🧀
起司	🧀
纸杯蛋糕	🧁
佐料	🧂
佐料瓶	🧂
盐	🧂
调味品	🧂
食盐	🧂
一盒果汁	🧃
果汁盒	🧃
大蒜	🧄
蒜	🧄
蒜头	🧄
蒜香	🧄
洋葱	🧅
洋蒜	🧅
皮芽子	🧅
葱头	🧅
中东蔬菜球	🧆
油炸鹰嘴豆饼	🧆
法拉费	🧆
炸豆丸子	🧆
肉丸	🧆
肉丸子	🧆
华夫饼	🧇
格子饼	🧇
牛油	🧈
黄乳油	🧈
黄油	🧈
马黛茶	🧉
冰	🧊
冰块	🧊
加冰	🧊
一杯奶茶	🧋
奶茶	🧋
波霸奶茶	🧋
珍珠奶茶	🧋
巨怪	🧌
穴居巨怪	🧌
女仔	🧍‍♀️
妹妹	🧍‍♀️
姐姐	🧍‍♀️
站立的女人	🧍‍♀️
哥哥	🧍‍♂️
弟弟	🧍‍♂️
男仔	🧍‍♂️
站着	🧍‍♂️|🧍‍♀️
站立	🧍‍♂️|🧍‍♀️
站立的男人	🧍‍♂️
站立者	🧍‍♂️|🧍‍♀️
跪坐	🧎‍♂️|🧎‍♀️
跪着	🧎‍♂️|🧎‍♀️
失聪	🧏‍♂️|🧏‍♀️
失聪者	🧏‍♂️|🧏‍♀️
耳聋	🧏‍♂️|🧏‍♀️
聋子	🧏‍♂️|🧏‍♀️
单片眼镜	🧐
戴单片眼镜的脸	🧐
探究	🧐
研究	🧐
寻思	🧐
思索	🧐
手拉手	🧑‍🤝‍🧑
牵手	🧑‍🤝‍🧑
儿童	🧒
孩子	🧒
小孩	🧒
小孩儿	🧒
小孩子	🧒
小朋友	🧒
小盆友	🧒
大叔	🧔
有胡子的人	🧔
有胡须的人	🧔
络腮胡	🧔
胡子	🧔
胡须	🧔
胡子女	🧔‍♀️
长胡子的女人	🧔‍♀️
穆斯林	🧕
蒸房里的女人	🧖‍♀️
桑拿	🧖‍♂️|🧖‍♀️
蒸房	🧖‍♂️|🧖‍♀️
蒸房里的人	🧖‍♂️|🧖‍♀️
蒸房里的男人	🧖‍♂️
蒸桑拿	🧖‍♂️|🧖‍♀️
攀爬的女人	🧗‍♀️
攀山	🧗‍♂️|🧗‍♀️
攀岩者	🧗‍♂️|🧗‍♀️
攀爬的人	🧗‍♂️|🧗‍♀️
攀爬的男人	🧗‍♂️
登山	🧗‍♂️|🧗‍♀️
登山者	🧗‍♂️|🧗‍♀️
瑜伽女	🧘‍♀️
盘腿的女人	🧘‍♀️
全莲花坐	🧘‍♂️|🧘‍♀️
冥想	🧘‍♂️|🧘‍♀️
打坐	🧘‍♂️|🧘‍♀️
瑜伽	🧘‍♂️|🧘‍♀️
瑜伽男	🧘‍♂️
盘腿	🧘‍♂️|🧘‍♀️
盘腿的男人	🧘‍♂️
莲花坐	🧘‍♂️|🧘‍♀️
莲花坐的人	🧘‍♂️|🧘‍♀️
女巫	🧙‍♀️
女法师	🧙‍♀️
女魔术师	🧙‍♀️
女魔法师	🧙‍♀️
法师	🧙‍♂️|🧙‍♀️
男巫	🧙‍♂️
男法师	🧙‍♂️
男魔术师	🧙‍♂️
男魔法师	🧙‍♂️
魔术师	🧙‍♂️|🧙‍♀️
魔法师	🧙‍♂️|🧙‍♀️
小仙女	🧚‍♀️
妖精	🧚‍♂️|🧚‍♀️
小仙子	🧚‍♂️|🧚‍♀️
小精灵	🧚‍♂️|🧚‍♀️
女吸血鬼	🧛‍♀️
吸血鬼	🧛‍♂️|🧛‍♀️
德古拉	🧛‍♂️|🧛‍♀️
男吸血鬼	🧛‍♂️
美人鱼	🧜‍♀️
人鱼	🧜‍♂️|🧜‍♀️
海王	🧜‍♂️
男人鱼	🧜‍♂️
美男鱼	🧜‍♂️
女精灵	🧝‍♀️
男精灵	🧝‍♂️
精灵	🧝‍♂️|🧝‍♀️
精灵族	🧝‍♂️|🧝‍♀️
女灯神	🧞‍♀️
灯神	🧞‍♂️|🧞‍♀️
男灯神	🧞‍♂️
阿拉丁	🧞‍♂️|🧞‍♀️
阿拉丁神灯	🧞‍♂️|🧞‍♀️
女丧尸	🧟‍♀️
女僵尸	🧟‍♀️
女行尸走肉	🧟‍♀️
丧尸	🧟‍♂️|🧟‍♀️
僵尸	🧟‍♂️|🧟‍♀️
男丧尸	🧟‍♂️
男僵尸	🧟‍♂️
男行尸走肉	🧟‍♂️
行尸走肉	🧟‍♂️|🧟‍♀️
大脑	🧠
头脑	🧠
脑	🧠
脑子	🧠
脑花	🧠
橘心	🧡
橘色心	🧡
橘色的心	🧡
橙心	🧡
橙色心	🧡
橙色的心	🧡
棒球帽	🧢
鸭舌帽	🧢
围巾	🧣
手套	🧤
外套	🧥
夹克	🧥
夹克衫	🧥
短袜	🧦
袜子	🧦
发红包	🧧
红包	🧧
炸药	🧨
爆竹	🧨
鞭炮	🧨
拼图	🧩
拼图块	🧩
拼块	🧩
拼块儿	🧩
试管	🧪
培养皿	🧫
DNA	🧬
基因	🧬
脱氧核糖核酸	🧬
指北针	🧭
指南针	🧭
方向	🧭
罗盘	🧭
打算盘	🧮
算盘	🧮
灭火器	🧯
工具箱	🧰
板儿砖	🧱
板砖	🧱
砖块	🧱
砖头	🧱
吸铁石	🧲
磁力	🧲
磁石	🧲
磁铁	🧲
行李	🧳
行李箱	🧳
乳液	🧴
乳液瓶	🧴
护肤霜	🧴
沐浴露	🧴
洗发水	🧴
洗发露	🧴
线轴	🧵
毛线	🧶
毛线球	🧶
纱线	🧶
线团	🧶
别针	🧷
安全别针	🧷
扣针	🧷
泰迪	🧸
泰迪熊	🧸
扫帚	🧹
扫把	🧹
笤帚	🧹
竹篮	🧺
篮子	🧺
菜篮	🧺
菜篮子	🧺
卫生纸	🧻
卷纸	🧻
纸巾	🧻
皂	🧼
肥皂	🧼
香皂	🧼
海绵	🧽
清洗	🧽
凭据	🧾
发票	🧾
收据	🧾
账单	🧾
恶魔之眼	🧿
恶魔的眼	🧿
恶魔眼	🧿
芭蕾舞鞋	🩰
足尖鞋	🩰
泳衣	🩱
泳装	🩱|👙
连体泳衣	🩱
三角裤	🩲
内裤	🩲
底裤	🩲
四角裤	🩳
短裤	🩳
人字拖	🩴
凉鞋	🩴|👡
夹趾凉鞋	🩴
拖鞋	🩴
沙滩凉鞋	🩴
淡蓝心	🩵
淡蓝色心	🩵
淡蓝色的心	🩵
灰心	🩶
灰色心	🩶
灰色的心	🩶
粉心	🩷
粉红心	🩷
粉色心	🩷
滴血	🩸
血	🩸
血液	🩸
血滴	🩸
创口贴	🩹
创可贴	🩹
听诊器	🩺
X光	🩻
X光片	🩻
X射线	🩻
拍片	🩻
胸片	🩻
胸透	🩻
拐杖	🩼
悠悠球	🪀
溜溜球	🪀
放风筝	🪁
纸鸢	🪁
风筝	🪁
风鸢	🪁
跳伞	🪂
降落伞	🪂
回力棒	🪃
回力镖	🪃
回旋镖	🪃
回飞棒	🪃
飞去来器	🪃
飞旋镖	🪃
魔杖	🪄
魔棒	🪄
魔法棒	🪄
皮纳塔	🪅
俄罗斯套娃	🪆
套娃	🪆
沙槌	🪇
竖笛	🪈
笛子	🪈
长笛	🪈
土星	🪐
星球	🪐
有环行星	🪐
行星	🪐
凳子	🪑
椅子	🪑
刮胡刀	🪒
剃刀	🪒
剃须刀	🪒
手动刮胡刀	🪒
斧头	🪓
斧子	🪓
油灯	🪔
班卓琴	🪕
军人	🪖
军用头盔	🪖
军盔	🪖
头盔	🪖
手风琴	🪗
康加鼓	🪘
长鼓	🪘
硬币	🪙
钢镚	🪙
钢镚儿	🪙
钱币	🪙
手锯	🪚
锯子	🪚
螺丝刀	🪛
搭梯子	🪜
梯子	🪜
爬梯	🪜
爬梯子	🪜
科学上网	🪜
翻墙	🪜
魔法上网	🪜
弯钩	🪝
挂钩	🪝
钩子	🪝
铁钩	🪝
镜子	🪞
魔镜	🪞
窗户	🪟
吸把	🪠
搋子	🪠
水拔子	🪠
皮老虎	🪠
通通乐	🪠
马桶吸	🪠
马桶吸把	🪠
马桶吸盘	🪠
马桶塞	🪠
马桶抽子	🪠
马桶搋	🪠
马桶搋子	🪠
马桶疏通器	🪠
绣花针	🪡
缝纫针	🪡
缝衣针	🪡
针	🪡
针线	🪡
打结	🪢
绳子	🪢
绳结	🪢
圆桶	🪣
水桶	🪣
捕鼠器	🪤
刷牙	🪥
牙刷	🪥
坟墓	🪦
墓碑	🪦
布告	🪧
布告牌	🪧
标语	🪧
标语牌	🪧
岩石	🪨
石头	🪨
迪斯科	🪩
镜面球	🪩
ID	🪪|🆔
执照	🪪
证件	🪪
证照	🪪
身份证	🪪|🆔
驾照	🪪
低电量	🪫
电池不足	🪫
电量不足	🪫
电量低	🪫
法蒂玛	🪬
法蒂玛之手	🪬
扇子	🪭
折扇	🪭
叉梳	🪮
梳子	🪮
坎达	🪯
坎达符号	🪯
锡克	🪯
锡克教	🪯
家蝇	🪰
苍蝇	🪰
寄生虫	🪱
蚯蚓	🪱
蠕虫	🪱
圣甲虫	🪲
昆虫	🪲
甲虫	🪲
小强	🪳
蟑螂	🪳
盆栽	🪴
盆栽植物	🪴
花盆	🪴
原木	🪵
木头	🪵
木材	🪵
羽毛	🪶
荷花	🪷
莲花	🪷
珊瑚	🪸
珊瑚礁	🪸
空巢	🪹
空鸟巢	🪹
有蛋的巢	🪺
有蛋的鸟巢	🪺
鸟巢	🪺
风信子	🪻
水母	🪼
海蜇	🪼
天使的翅膀	🪽
羽翼	🪽
翅膀	🪽
大鹅	🪿
鹅	🪿
鹅鹅鹅	🪿
心脏	🫀
心脏器官	🫀
吸气	🫁
呼吸作用	🫁
肺	🫁
抱在一起	🫂
拥抱的人	🫂
啤酒肚	🫃
将军肚	🫃
怀孕的男人	🫃
男人怀孕	🫃
king	🫅
君主	🫅
国王	🫅
戴王冠的人	🫅
马鹿	🫎
驼鹿	🫎
驼鹿头	🫎
驼鹿脸	🫎
鹿角	🫎
小驴	🫏
驴	🫏
驴儿	🫏
蓝莓	🫐
彩椒	🫑
灯笼椒	🫑
甜椒	🫑
菜椒	🫑
橄榄	🫒
油橄榄	🫒
青橄榄	🫒
黄榄	🫒
大饼	🫓
面饼	🫓
饼	🫓
墨西哥粽	🫔
墨西哥粽子	🫔
奶酪火锅	🫕
芝士火锅	🫕
起司火锅	🫕
一壶	🫖
一壶茶	🫖
茶壶	🫖
倒水	🫗
倾倒	🫗
倾倒液体	🫗
豆	🫘
豆子	🫘
豆类	🫘
红豆	🫘
玻璃瓶	🫙
瓶子	🫙
罐子	🫙
姜	🫚
生姜	🫚
豆荚	🫛
豌豆	🫛
豌豆荚	🫛
消失	🫠|🫥
溶解	🫠
融化	🫠
respect	🫡
尊敬	🫡
尊重	🫡
敬礼	🫡
瑞思拜	🫡
致敬	🫡
unbelievable	🫢
不敢相信	🫢
不敢看	🫣
偷偷看	🫣
偷偷瞧	🫣
偷看	🫣
偷瞧	🫣
单眼偷看	🫣
我不敢看	🫣
画面太美我不敢看	🫣
那画面太美我不敢看	🫣
不确定	🫤
撇嘴	🫤
虚线脸	🫥
虚线轮廓	🫥
隐形	🫥
隐藏	🫥
咬住嘴唇	🫦
咬嘴唇	🫦
情调	🫦
诱惑	🫦
调情	🫦
气泡	🫧
泡泡	🫧
肥皂泡	🫧
摇头晃脑	🫨
晃脑	🫨
猛摇头	🫨
甩头	🫨
颤抖的脸	🫨
响指	🫰
打响指	🫰
比心	🫰|🫶
比心手势	🫰|🫶
食指和拇指交叉的手	🫰
右手	🫱|🫸
向右伸的手	🫱
向右的手	🫱
朝右	🫱
向左伸的手	🫲
向左的手	🫲
左手	🫲|🫷
朝左	🫲
手掌朝下	🫳
掌心朝下	🫳
放手	🫳
朝下	🫳
伸手	🫴
手掌朝上	🫴
抬起	🫴
掌心朝上	🫴
朝上	🫴
你自己	🫵
就是你	🫵
指人	🫵
指你	🫵
指向观察者的食指	🫵
指我	🫵
指着	🫵
指着你	🫵
食指指向观察者	🫵
做成心形的双手	🫶
向左推	🫷
向左推手	🫷
向左推的手	🫷
左推	🫷
推手	🫷|🫸
右推	🫸
向右推	🫸
向右推手	🫸
向右推的手	🫸
