he	他|氦
supersonics	超音速学
superstar	超级明星
superstition	迷信
superstitions	迷信
superstitious	迷信的
superstore	大型超市
superstratum	上层
superstructure	上层建筑
supertanker	超级油轮
supertax	附加税
superuser	超级用户
supervga	超级vga
supervise	监督
supervised	监督的
supervises	监督
supervising	监督中
supervision	监督
supervisor	主管
supervisors	主管
supervisory	监督的
superwoman	女超人
supinate	仰卧
supine	仰卧的
supper	晚餐
suppers	晚餐
supplant	取代
supplanted	被取代的
supplanting	取代中
supplants	取代
supple	柔韧的
supplement	补充
supplemental	补充的
supplementary	补充的
supplementation	补充
supplemented	补充的
supplementing	补充中
supplements	补充
suppleness	柔韧
suppletion	异干
suppliance	恳求
suppliant	恳求者
supplicant	恳求者
supplicate	恳求
supplication	恳求
supplied	已提供
supplier	供应商
suppliers	供应商
supplies	供应品
supply	供应
supplying	供应中
support	支持
supportable	可支持的
supported	已支持
supporter	支持者
supporters	支持者
supporting	支持中
supportingly	支持地
supportive	支持的
supportively	支持地
supportless	无支持的
supports	支持
supposable	可假设的
suppose	假设
supposed	假定的
supposedly	据称
supposes	假设
supposing	假设中
supposition	假设
suppositional	假设的
suppositions	假设
suppositive	假设的
suppository	栓剂
suppress	压制
suppressant	抑制剂
suppressed	被压制的
suppresses	压制
suppressible	可压制的
suppressing	压制中
suppression	压制
suppressive	压制的
suppressor	抑制器
suppressors	抑制器
suppurate	化脓
suppuration	化脓
supra	上
supranational	超国家的
supraorbital	眶上的
suprarenal	肾上腺的
supremacy	霸权
supreme	至高
supremely	极其
sur	上
surah	绸缎
surcease	停止
surcharge	附加费
surcingle	肚带
surd	无理数
sure	确定
surefire	万无一失
surefooted	稳健
surely	肯定
sureness	确信
sureties	担保
surety	保证
surf	冲浪
surface	表面
surfaced	浮现
surfaceness	表面性
surfaces	表面
surfacing	铺面
surfactant	表面活性剂
surfboard	冲浪板
surfeit	过量
surfer	冲浪者
surfers	冲浪者
surfing	冲浪
surfy	浪多的
surge	激增
surged	激增
surgeon	外科医生
surgeons	外科医生
surgery	外科手术
surges	激增
surgical	外科的
surgically	外科上
surging	激增
suriname	苏里南
surlily	乖戾地
surliness	乖戾
surly	乖戾的
surmisable	可推测的
surmise	推测
surmised	推测的
surmises	推测
surmount	克服
surmountable	可克服的
surmounted	克服的
surmounting	克服
surmounts	克服
surname	姓氏
surnames	姓氏
surpass	超越
surpassed	超越的
surpasses	超越
surpassing	超越的
surplice	白袈裟
surplus	盈余
surplusage	过剩
surpluses	盈余
surprise	惊讶
surprised	惊讶的
surprises	惊讶
surprising	令人惊讶的
surprisingly	令人惊讶地
surreal	超现实的
surrealism	超现实主义
surrealist	超现实主义者
surrealistic	超现实的
surrejoinder	再答辩
surrender	投降
surrendered	已投降
surrendering	投降中
surrenders	投降
surreptitious	秘密的
surrey	萨里
surrive	幸存
surrogate	替代者
surrogates	替代者
surround	围绕
surrounded	被围绕的
surrounding	周围的
surroundings	环境
surrounds	围绕
surtax	附加税
surveillance	监视
surveillant	监视者
survey	调查
surveyed	已调查
surveying	调查中
surveyor	测量员
surveyors	测量员
surveys	调查
survivability	生存能力
survival	生存
survivals	幸存者
survive	幸存
survived	幸存
survives	幸存
surviving	幸存
survivor	幸存者
survivors	幸存者
sus	可疑
sus	可疑
susan	苏珊
susanne	苏珊娜
susceptibility	易感性
susceptible	易受影响的
susceptibly	易受影响地
susceptive	易受影响的
suse	苏泽
sushi	寿司
sushiswap	寿司交换
susie	苏西
suspect	怀疑
suspectable	可疑的
suspected	被怀疑的
suspecting	怀疑
suspects	怀疑
suspend	暂停
suspended	暂停的
suspender	吊带
suspenders	吊带裤
suspending	暂停
suspends	暂停
suspense	悬念
suspenses	悬念
suspension	暂停
suspensions	暂停
suspensive	悬而未决的
suspensory	悬吊的
suspicion	怀疑
suspicions	怀疑
suspicious	可疑的
suspiciously	可疑地
suspiration	叹息
suspire	叹息
susquehanna	萨斯奎汉纳
sussex	萨塞克斯
sustain	维持
sustainability	可持续性
sustainable	可持续的
sustained	持续的
sustaining	维持的
sustains	维持
sustenance	生计
susurrate	低语
susurrus	沙沙声
sutherland	萨瑟兰
sutler	随军商贩
sutra	佛经
suttee	殉夫
suttle	净重
sutton	萨顿
sutural	缝合的
suture	缝合
sutures	缝合
suv	运动型多用途车
sport utility vehicle	运动型多用途车
suvs	运动型多用途车
suwanee	苏瓦尼
suzanne	苏珊娜
suzerain	宗主国
suzerainty	宗主权
suzuki	铃木
svalbard	斯瓦尔巴
svelte	苗条的
sven	斯文
leveldb	谷歌开发键值对数据库
svenska	瑞典语
svetlana	斯韦特兰娜
svg	可缩放矢量图形
scalable vector graphics	可缩放矢量图形
svip	超级贵宾
svn	版本控制系统
apache subversion	版本控制系统
swab	拭子
swabber	清洁工
swabbing	擦拭
swaddle	襁褓
swag	赃物
swage	型锻
swagger	昂首阔步
swaggered	昂首阔步
swaggering	昂首阔步
swaggeringly	昂首阔步地
swahili	斯瓦希里语
swain	乡村青年
swains	情郎
swale	洼地
swallow	吞咽
swallowed	吞下
swallowing	吞咽
swallows	燕子
swallowtail	燕尾
swam	游泳
swami	大师
swamp	沼泽
swamped	淹没
swamping	淹没
swampland	沼泽地
swamps	沼泽
swampy	沼泽的
swan	天鹅
swank	炫耀
swanky	时髦的
swanlike	天鹅般的
swannery	天鹅饲养场
swans	天鹅
swansdown	天鹅绒
swansea	斯旺西
swanskin	天鹅皮
swanson	斯旺森
swap	交换
swapped	交换
swapper	交换者
swapping	交换
swaps	交换
sward	草地
swarm	蜂群
swarmed	蜂拥
swarming	蜂拥
swarms	蜂群
swarovski	施华洛世奇
swarthiness	黝黑
swarthmore	斯沃斯莫尔
swarthout	斯沃索特
swarthy	黝黑的
swartz	斯沃茨
swash	泼溅
swashbuckler	侠客
swashbuckling	侠客的
swastika	卐字
swat	拍打
swatch	样本
swathe	包裹
swatted	拍打
swatter	拍子
sway	摇摆
swayed	摇摆
swaying	摇摆
swaziland	斯威士兰
swear	发誓
swearer	发誓者
swearing	咒骂
swears	发誓
swearword	脏话
sweat	汗水
sweatband	汗带
sweatbox	汗箱
sweated	出汗的
sweater	毛衣
sweaters	毛衣
sweatily	汗津津地
sweating	出汗
sweats	汗水
sweatshirt	运动衫
sweatshirts	运动衫
sweatshop	血汗工厂
sweaty	汗湿的
swede	瑞典人
sweden	瑞典
swedes	瑞典人
swedish	瑞典的
sweeney	斯威尼
sweeneys	斯威尼一家
sweep	清扫
sweeper	清扫器
sweepers	清扫器
sweeping	清扫的
sweepings	清扫物
sweeps	清扫
sweepstakes	赌金全赢制
sweet	甜的
sweetbread	小牛胸腺
sweeten	变甜
sweetened	变甜的
sweetener	甜味剂
sweeteners	甜味剂
sweetening	加糖
sweetenings	甜化
sweetens	使变甜
sweeter	更甜
sweetest	最甜
sweetheart	甜心
sweethearts	甜心
sweetie	甜心
sweeting	甜心
sweetish	微甜
sweetly	甜美地
sweetmeat	甜食
sweetness	甜味
sweets	糖果
sweetsop	番荔枝
swell	膨胀
swelled	肿胀
swellfish	河豚
swelling	肿胀
swellings	肿胀处
swellish	浮夸的
swells	膨胀
swelter	闷热
sweltering	闷热的
swenson	斯文森
swept	扫过
sweptback	后掠的
swerve	转向
swerved	急转
swerves	急转
swerving	急转
swift	迅速
swifter	更迅速
swiftest	最迅速
swiftly	迅速地
swiftness	迅速
swig	痛饮
swill	泔水
swim	游泳
swimmer	游泳者
swimmers	游泳者
swimming	游泳
swimmingly	顺利地
swimmy	眩晕的
swims	游泳
swimsuit	泳衣
swimwear	泳装
swinburne	斯温伯恩
swindle	诈骗
swindler	骗子
swindon	斯温登
swine	猪
swing	摇摆
swinge	重击
swingeing	沉重的
swinger	时髦者
swingers	时髦者
swinging	摇摆
swings	秋千
swinish	猪似的
swink	辛劳
swipe	猛击
swirl	漩涡
swirled	旋转的
swirling	旋转的
swirls	漩涡
swish	嗖嗖声
swished	嗖嗖作响的
swiss	瑞士的
switch	开关
switchback	之字形路
switchblade	弹簧刀
switchboard	总机
switchboards	总机
switched	切换的
switcher	切换器
switchers	切换器
switches	开关
switchfoot	换脚
switching	切换
switchings	切换
switchman	扳道工
switchyard	调车场
switzer	瑞士人
switzerland	瑞士
swivel	转环
swivet	激动
swizzle	混合饮料
swollen	肿胀
swoon	昏厥
swoop	俯冲
swooped	俯冲
swooping	俯冲
swoops	俯冲
swoosh	嗖
sword	剑
swordbill	剑嘴蜂鸟
swordfish	剑鱼
swordplay	剑术
swords	剑
swordsman	剑客
swordsmith	铸剑师
swore	发誓
sworn	宣誓
swot	苦读
swum	游过
swung	摆动
sybase	赛贝斯
sybil	西比尔
sycamore	悬铃木
sycophancy	谄媚
sycophant	马屁精
sycophantic	谄媚的
sydney	悉尼
sykes	赛克斯
syllabic	音节的
syllabically	音节地
syllabicate	分音节
syllable	音节
syllables	音节
syllabus	大纲
syllogism	三段论
syllogisms	三段论
syllogistic	三段论的
syllogistically	三段论地
sylow	西洛
sylphlike	纤细的
sylvan	森林的
sylvania	西尔瓦尼亚
sylvatic	森林的
sylvester	西尔维斯特
sylvia	西尔维娅
sylvie	西尔维
symantec	赛门铁克
symbian	塞班
symbiont	共生体
symbiosis	共生
symbiotic	共生的
symbol	符号
symbolic	象征的
symbolically	象征性地
symbolics	符号学
symbolise	象征
symbolism	象征主义
symbolistic	象征主义的
symbolization	符号化
symbolize	象征
symbolized	象征的
symbolizes	象征
symbolizing	象征
symbols	符号
symmetric	对称
symmetrical	对称
symmetrically	对称地
symmetries	对称性
symmetry	对称
sympathetic	同情
sympathetically	同情地
sympathies	同情
sympathise	同情
sympathiser	同情者
sympathize	同情
sympathized	同情
sympathizer	同情者
sympathizers	同情者
sympathizes	同情
sympathizing	同情
sympathizingly	同情地
sympathy	同情
symphonic	交响乐
symphonies	交响乐
symphonious	和谐的
symphony	交响乐
symphysis	联合
symposia	研讨会
symposium	研讨会
symposiums	研讨会
symptom	症状
symptomatic	症状性
symptomatology	症状学
symptoms	症状
synaeresis	缩合
synaesthesia	联觉
synagogical	犹太教的
synagogue	犹太教堂
synapse	突触
synapses	突触
synapsis	联会
synaptic	突触的
synarthrosis	不动关节
sync	同步
syncml	同步标记语言
synchro	同步器
synchromesh	同步啮合
synchronise	同步
synchroniser	同步器
synchronising	同步中
synchronism	同步性
synchronization	同步
synchronize	同步
synchronized	已同步
synchronizer	同步器
synchronizers	同步器
synchronizes	同步
synchronizing	同步中
synchronous	同步的
synchronously	同步地
synchrony	同步
synchroscope	同步仪
synchrotron	同步加速器
syncline	向斜
syncopate	切分
syncopation	切分音
syncope	晕厥
syncthing	同步工具
syndic	理事
syndicalist	工团主义者
syndicate	辛迪加
syndicated	联合的
syndicates	辛迪加
syndication	联合
syndrome	综合征
syndromes	综合征
synecdoche	提喻
synergetic	协同的
synergic	协同的
synergism	协同作用
synergistic	协同的
synergy	协同作用
synesis	意合
synesthesea	联觉
synge	辛格
synod	教会会议
synodal	会议的
synology	群晖
synonym	同义词
synonymous	同义
synonymously	同义地
synonyms	同义词
synonymy	同义性
synopses	概要
synopsis	概要
synoptic	概要的
synovia	滑液
synovitis	滑膜炎
syntactic	句法的
syntactical	句法的
syntactically	句法上
syntax	句法
syntaxes	句法
synth	合成器
synthase	合酶
synthesis	合成
synthesise	合成
synthesiser	合成器
synthesize	合成
synthesized	合成的
synthesizer	合成器
synthesizers	合成器
synthesizes	合成
synthesizing	合成
synthetic	合成的
synthetical	合成的
synthetically	合成地
synthetics	合成物
syntony	谐振
syphilis	梅毒
syphilitic	梅毒的
syracuse	锡拉丘兹
syria	叙利亚
syrian	叙利亚的
syrianize	叙利亚化
syrianizes	叙利亚化
syrians	叙利亚人
syringe	注射器
syringes	注射器
syrinx	鸣管
syrup	糖浆
syrupy	糖浆的
sys	系统
sysstat	系统统计
system	系统
systematic	系统的
systematical	系统的
systematically	系统地
systematise	系统化
systematiser	系统化者
systematization	系统化
systematize	系统化
systematized	系统化的
systematizer	系统化者
systematizes	系统化
systematizing	系统化
systemctl	系统控制
systemd	系统守护进程
systemic	系统的
séance	séance
tablespoonful	汤匙量
tablespoonfuls	汤匙量
tablespoons	汤匙
tablet	药片
tabletop	桌面
tablets	药片
tableware	餐具
tabling	搁置
tabloid	小报
tabnine	塔布宁
taboo	禁忌
taboos	禁忌
tabor	手鼓
taboret	小凳
tabour	手鼓
tabouret	小凳
tabs	标签
tabular	表格的
tabulate	制表
tabulated	已制表
tabulates	制表
tabulating	制表
tabulation	制表
tabulations	制表
tabulator	制表机
tabulators	制表机
tache	斑点
tachometer	转速计
tachometers	转速计
tachycardia	心动过速
tacit	默认
tacitly	默认地
taciton	默认
taciturn	沉默的
taciturnity	沉默
tacitus	塔西佗
tack	大头钉
tacked	钉住
tacker	钉工
tacking	钉住
tackle	处理
tackles	处理
tackling	处理
tacky	俗气的
taco	墨西哥卷
tacoma	塔科马
taconite	铁燧岩
tact	圆滑
tactful	圆滑的
tactic	策略
tactical	战术的
tactician	战术家
tactics	战术
tactile	触觉的
tactility	触觉
tactless	不圆滑的
tactual	触觉的
tad	少量
tadpole	蝌蚪
tael	两
taenia	绦虫
taffrail	船尾栏杆
taffy	太妃糖
taft	塔夫脱
tag	标签
tagalong	跟屁虫
tagboard	标签纸
tagged	已标记
tagger	标记者
tagging	标记中
tags	标签
tahiti	塔希提
tahoe	太浩湖
tai	泰
taichung	台中
taiga	泰加林
tail	尾巴
tailboard	尾板
tailcoat	燕尾服
tailed	有尾的
tailgate	尾门
tailing	尾随
taillight	尾灯
tailor	裁缝
tailored	定制的
tailoring	裁缝业
tailors	裁缝
tailpiece	尾件
tails	燕尾服
tailspin	失控
tailwind	顺风
tailwind css	顺风css
tailwinds	顺风
tainan	台南
taint	污染
tainted	受污染的
taipei	台北
taiwan	台湾
taiwanese	台湾人
taj	泰姬
tajikistan	塔吉克斯坦
take	拿
takedown	拆除
taken	已拿
takeoff	起飞
takeout	外卖
takeover	接管
taker	接受者
takers	接受者
takes	拿取
taking	正在拿
takings	收入
talbot	塔尔博特
talc	滑石
talcum	滑石粉
tale	故事
talebearer	搬弄是非者
talebearing	搬弄是非
talent	天赋
talented	有才
talentless	无才
talents	才能
tales	故事
talesman	说书人
taletelling	讲故事
taliban	塔利班
talisman	护身符
talk	谈话
talkative	健谈
talkatively	健谈地
talkativeness	健谈
talkback	对讲
talked	谈过
talker	说话者
talkers	说话者
talkie	有声电影
talking	谈话
talks	会谈
talky	话多
tall	高
talladega	塔拉迪加
tallahassee	塔拉哈西
tallahatchie	塔拉哈奇
tallahoosa	塔拉胡萨
tallboy	高脚柜
tallchief	托尔奇夫
taller	更高
tallest	最高
talleyrand	塔列朗
tallish	略高
tallness	高度
tallow	牛脂
tally	计数
talmud	塔木德
talmudic	塔木德的
talmudism	塔木德主义
talmudist	塔木德学者
talmudization	塔木德化
talmudizations	塔木德化
talmudize	塔木德化
talmudizes	塔木德化
talon	利爪
talons	利爪
talus	距骨
tamable	可驯服的
tamale	玉米粽
tamarack	落叶松
tamarind	罗望子
tamarisk	柽柳
tambour	鼓框
tambourin	长鼓
tambourine	铃鼓
tame	驯服
tameable	可驯服的
tamed	驯服的
tamely	温顺地
tameness	温顺
tamer	驯兽师
tamerlane	帖木儿
tames	驯服
tamiflu	达菲
tamil	泰米尔
taming	驯化
tammany	坦慕尼
tammanyize	坦慕尼化
tammanyizes	坦慕尼化
tammy	塔米
tamp	夯实
tampa	坦帕
tamper	篡改
tampered	被篡改
tampering	篡改
tampers	篡改
tamping	夯实
tampion	炮塞
tampon	卫生棉条
tan	晒黑
tanager	唐纳雀
tanaka	田中
tananarive	塔那那利佛
tanbark	鞣料树皮
tandem	串联
tang	强烈味道
tanganyika	坦噶尼喀
tangency	相切
tangent	切线
tangential	切线的
tangents	切线
tangerine	橘子
tangibility	可触性
tangible	有形的
tangibly	可触摸地
tangle	缠结
tangled	纠缠的
tangly	缠结的
tango	探戈
tangram	七巧板
tangy	辛辣的
tank	坦克
tankage	储罐容量
tankard	大酒杯
tanker	油轮
tankers	油轮
tankful	满罐
tanks	坦克
tannable	可鞣制的
tanned	晒黑的
tannenbaum	圣诞树
tanner	鞣皮工
tanners	鞣皮工
tannery	制革厂
tannic	鞣酸的
tannin	单宁
tanning	鞣制
tannoy	扩音器
tansy	艾菊
tantalise	逗引
tantalising	诱人的
tantalization	逗引
tantalize	挑逗
tantalizing	诱人的
tantalizingly	诱人地
tantalum	钽
tantalus	坦塔罗斯
tantamount	等同于
tantara	号角声
tantivy	疾驰
tantrum	发脾气
tantrums	发脾气
tanya	塔尼娅
tanyard	鞣革厂
tanzania	坦桑尼亚
tao	道
taoism	道教
taoist	道教徒
taos	陶斯
tap	轻敲
tape	磁带
taped	录制的
tapeline	卷尺
taper	逐渐变细
tapered	锥形的
tapering	逐渐变细
tapers	逐渐变细
tapes	磁带
tapestried	挂毯装饰的
tapestries	挂毯
tapestry	挂毯
tapeworm	绦虫
taphole	出铁口
taping	胶带
tapings	胶带
tapioca	木薯淀粉
tapir	貘
tapped	已接通
tapper	轻敲者
tappers	轻敲者
tappet	挺杆
tapping	攻丝
taproom	酒吧间
taproot	主根
taproots	主根
taps	水龙头
tapster	酒吧招待
tar	焦油
tara	塔拉
tarantula	狼蛛
tarbell	塔贝尔
tarboosh	土耳其帽
tarbrush	焦油刷
tardigrade	缓步动物
tardily	缓慢地
tardiness	迟缓
tardy	迟到的
tare	皮重
target	目标
targeted	有针对性的
targeting	瞄准
targets	目标
targus	泰格斯
tariff	关税
tariffs	关税
tarmacadam	柏油碎石
tarn	山湖
tarnal	该死的
tarnish	玷污
taro	芋头
tarot	塔罗牌
tarp	防水布
tarpaulin	防水布
tarpon	大海鲢
tarragon	龙蒿
tarred	涂柏油的
tarry	逗留
tarrytown	塔里敦
tarsal	跗骨的
tarsia	镶嵌细工
tarsus	跗骨
tart	果馅饼
tartan	格子呢
tartar	牙垢
tartaric	酒石的
tartary	鞑靼
tartlet	小果馅饼
tartly	尖刻地
tartness	酸涩
tartrate	酒石酸盐
tartuffe	伪君子
tarzan	泰山
task	任务
tasked	被指派任务
tasking	任务分配
taskmaster	监工
tasks	任务
taskwork	计件工作
tasmania	塔斯马尼亚
tasmanian	塔斯马尼亚的
tass	塔斯社
tassel	流苏
tassels	流苏
tastable	可品尝的
taste	味道
tasteable	可品尝的
tasted	品尝过
tasteful	雅致的
tastefully	雅致地
tastefulness	雅致
tasteless	无味的
tastelessly	无味地
tastemaker	潮流引领者
taster	品鉴师
tasters	品鉴师
tastes	口味
tastily	美味地
tasting	品尝
tasty	美味的
tat	廉价品
tata	再见
tatami	榻榻米
tate	泰特
tatter	破布
tatterdemalion	衣衫褴褛者
tattered	破烂的
tatting	梭织花边
tattle	闲谈
tattler	饶舌者
tattletale	告密者
tattoo	纹身
tattooed	纹身的
tattoos	纹身
tatty	破旧的
tau	陶
taught	教过
taunt	嘲弄
taunted	被嘲弄
taunter	嘲弄者
taunting	嘲弄的
tauntingly	嘲弄地
taunts	嘲弄
taupe	灰褐色
tauri	金牛座
taurine	牛磺酸
taurus	金牛座
taut	绷紧的
tauten	拉紧
tautly	绷紧地
tautness	绷紧
tautog	黑斑鱼
tautological	同义反复
tautologically	同义反复地
tautologies	同义反复
tautologise	同义反复
tautologize	同义反复
tautology	同义反复
tautomerism	互变异构
tavern	酒馆
tavernkeeper	酒馆老板
taverns	酒馆
taw	弹石
tawdrily	俗丽地
tawdry	俗丽的
tawney	托尼
tawny	黄褐色的
tax	税
taxa	分类单元
taxability	可征税性
taxable	应纳税的
taxation	征税
taxed	已征税
taxeme	法位
taxes	税
taxi	出租车
taxicab	出租车
taxicabs	出租车
taxidermal	动物标本的
taxidermy	动物标本制作
taxied	乘出租车
taxiing	滑行
taximan	出租车司机
taximeter	计价器
taxing	繁重的
taxiplane	出租飞机
taxis	出租车
taxiway	滑行道
taxman	税务员
taxology	分类学
taxon	分类单元
taxonomic	分类的
taxonomically	分类上
taxonomy	分类法
taxpayer	纳税人
taxpayers	纳税人
taylor	泰勒
taylorize	泰勒化
taylorizes	泰勒化
taylors	泰勒
tcam	战术通信接入方法
tchaikovsky	柴可夫斯基
transmission control protocol	传输控制协议
tcp/ip	tcp/ip
tea	茶
teach	教
teachability	可教性
teachable	可教的
teacher	教师
teachers	教师
teaches	教学
teaching	教学
teachings	教义
teacup	茶杯
teague	蒂格
teahouse	茶馆
teak	柚木
teakettle	茶壶
teal	水鸭
team	团队
teamed	组队
teaming	组队
teammate	队友
teams	团队
teamster	卡车司机
teamwork	团队合作
teapot	茶壶
tear	眼泪
tearaway	叛逆者
teardown	拆除
teardrop	泪滴
teared	流泪
tearful	泪汪汪的
tearfully	泪汪汪的
tearing	撕裂
tearjerker	催泪弹
tearoom	茶室
tears	眼泪
teas	茶
tease	戏弄
teased	被戏弄
teasel	起绒草
teaser	难题
teases	戏弄
teasing	戏弄
teaspoon	茶匙
teaspoonful	一茶匙
teaspoonfuls	茶匙量
teaspoons	茶匙
teat	乳头
teatime	下午茶时间
tec	侦探
tech	技术
teched	技术化的
technetium	锝
technetronic	电子技术的
technical	技术的
technicalities	技术细节
technicality	技术细节
technically	技术上
technician	技术员
technicians	技术员
technicolor	彩色
technics	技术
technion	以色列理工学院
technique	技巧
techniques	技术
techno	电子乐
technocracy	技术统治
technocrat	技术官僚
technological	技术的
technologically	技术上
technologies	技术
technologist	技术专家
technologists	技术专家
technology	技术
technorati	科技精英
techrepublic	技术共和国
techs	技术
techweb	科技网
tectology	构造学
tectonic	构造的
tectonics	构造学
ted	泰德
ted	泰德
ted	泰德
teddy	泰迪熊
tedious	乏味的
tediously	乏味地
tediousness	乏味
tedium	乏味
tee	球座
teehee	嘻嘻
teem	充满
teemed	充满
teeming	充满的
teems	充满
teen	青少年
teenage	青少年
teenaged	青少年
teenager	青少年
teenagers	青少年
teens	青少年
teeny	微小
tees	球座
teeth	牙齿
teethe	长牙
teethed	长牙
teethes	长牙
teething	长牙
teetotal	戒酒
teetotaler	戒酒者
teetotalism	戒酒主义
teetotaller	戒酒者
teetotum	陀螺
teflon	特氟龙
tegucigalpa	特古西加尔巴
tegument	外皮
tehee	窃笑
teheran	德黑兰
tehran	德黑兰
tektronix	泰克
tel	电话
tele	电视
telecardiophone	心音电话
telecast	电视广播
telecasting	电视广播
telecharger	下载
telecom	电信
telecommunication	通信
telecommunications	电信
telecommuter	远程办公者
telecommuting	远程办公
telecoms	电信
teledyne	泰莱达
telefilm	电视电影
teleflora	电话花
telefonsex	电话性爱
telefunken	德律风根
telegony	远缘遗传
telegram	电报
telegrams	电报
telegraph	电报
telegraphed	电报发送
telegrapher	报务员
telegraphers	报务员
telegraphic	电报的
telegraphing	电报发送
telegraphist	报务员
telegraphs	电报
telegraphy	电报术
telekinesis	心灵遥感
telemann	泰勒曼
telemechanics	遥控力学
telemetering	遥测
telemetric	遥测
teletex	图文电视
teletext	图文广播
telethon	电视马拉松
teletype	电传打字机
teletypes	电传打字机
teletypesetter	电传排字机
teletypist	电传打字员
teleview	电视观看
televiewer	电视观众
televise	电视播送
televised	电视播送的
televises	电视播送
televising	电视播送
television	电视
televisions	电视机
televisor	电视接收机
televisors	电视接收机
televisual	电视的
telex	电传
tell	告诉
tellable	可讲述的
teller	出纳员
tellers	出纳员
telling	讲述
tells	告诉
telltale	迹象
telluric	地球的
tellurium	碲
telly	电视
telnet	远程登录
telnet	远程登录
telstra	电信
temblor	地震
temerity	鲁莽
temp	临时工
tempe	坦佩
temper	脾气
tempera	蛋彩画
temperable	可回火的
temperament	气质
temperamental	喜怒无常的
temperaments	气质
temperance	节制
temperate	温和的
temperate forest	温带森林
temperate grassland	温带草原
temperately	适度地
temperateness	温和
temperature	温度
temperatures	温度
tempered	回火的
tempering	回火
tempers	脾气
tempest	暴风雨
tempestuous	狂暴的
tempestuously	狂暴地
templar	圣殿骑士
template	模板
templates	模板
temple	寺庙
templeman	坦普尔曼
temples	寺庙
templeton	坦普尔顿
tempo	节奏
temporal	时间的
temporality	暂时性
temporally	暂时地
temporaries	临时工
temporarily	暂时地
temporariness	短暂
temporary	临时的
temporise	拖延
temporiser	拖延者
temporize	拖延
temporizer	拖延者
temps	临时工
tempt	引诱
temptable	可诱惑的
temptation	诱惑
temptations	诱惑
tempted	被引诱的
tempter	诱惑者
tempters	诱惑者
tempting	诱人的
temptingly	诱人地
temptress	妖妇
tempts	引诱
temu	特木
ten	十
tenability	可维持性
tenable	可维持
tenacious	顽强
tenaciously	顽强地
tenacity	韧性
tenancy	租期
tenant	租户
tenants	租户
tencent	腾讯
tench	丁鲷
tend	倾向于
tended	照料过
tendencies	倾向
tendency	趋势
tendentious	有偏见的
tender	温柔的
tenderer	投标人
tenderfoot	新手
tenderhearted	心软的
tenderise	使变嫩
tenderize	使变嫩
tenderloin	里脊肉
tenderly	温柔地
tenderness	柔情
tenders	投标
tending	照料
tendon	肌腱
tendril	卷须
tendrils	卷须
tends	倾向于
tenebrous	阴暗的
tenement	公寓
tenemental	公寓的
tenements	公寓
tenerife	特内里费
tenet	信条
tenex	特耐克斯
tenex	特耐克斯
tenfold	十倍
tenneco	天纳克
tenner	十英镑
tennessee	田纳西
tenney	坦尼
tennis	网球
tennyson	丁尼生
tenon	榫头
tenor	男高音
tenors	男高音
tenotomy	肌腱切断术
tenpence	十便士
tenpenny	十便士的
tens	紧张
tense	紧张的
tensed	紧张的
tensely	紧张地
tenseness	紧张
tenser	更紧张的
tenses	紧张
tensest	最紧张的
tensibility	可伸展性
tensible	可伸展的
tensile	拉伸
tensing	绷紧
tensiometer	张力计
tension	张力
tensional	张力的
tensions	紧张
tensity	紧张度
tensive	紧张的
tensor	张量
tensorflow	张量流
tent	帐篷
tentacle	触手
tentacled	有触手的
tentacles	触须
tentacular	触手状的
tentative	试探性
tentatively	试探地
tented	搭帐篷的
tenter	拉幅机
tenterhook	拉幅钩
tenth	第十
tenthly	第十地
tenting	搭帐篷
tentmaker	帐篷匠
tents	帐篷群
tenuis	清辅音
tenuity	纤细
tenuous	微弱的
tenure	任期
tepee	圆锥帐篷
tepid	微温
tepidity	微温
ter	特
tera	太
teraph	家神
teratogenic	致畸
teratology	畸形学
terbium	铽
tercel	雄鹰
tercet	三行诗
teresa	特蕾莎
tergum	背板
term	术语
termagancy	泼妇
termed	称为
termer	术语者
terminability	可终止性
terminable	可终止的
terminal	终端
terminally	末期
terminals	终端
terminate	终止
terminated	已终止
terminates	终止
terminating	终止中
termination	终止
terminations	终止
terminative	终结的
terminator	终结者
terminators	终结者
terming	称为
terminism	术语主义
terminological	术语的
terminologies	术语集
terminology	术语
terminus	终点
termite	白蚁
termius	终端
termless	无期限
terms	条款
termwise	逐项
tern	燕鸥
ternary	三元的
ternate	三出的
terpene	萜烯
terpsichore	舞蹈女神
terra	地球
terrace	平台
terraced	梯田的
terraces	平台群
terraform	地球化
terrain	地形
terrains	地形集
terran	地球人
terrane	地体
terrapin	水龟
terraqueous	水陆的
terraria	生态箱
terrarium	生态箱
terre	土地
terrene	尘世
terrestrial	地球的
terrestrials	地球生物
terret	马环
terri	泰瑞
terrible	糟糕
terribly	极其
terrier	梗犬
terriers	梗犬
terrific	极好的
terrifically	极其地
terrified	害怕的
terrifies	使害怕
terrify	使害怕
terrifying	可怕的
terrifyingly	可怕地
territorial	领土的
territorialism	领土主义
territories	领土
territory	领土
terror	恐怖
terrorise	恐吓
terrorism	恐怖主义
terrorist	恐怖分子
terroristic	恐怖主义的
terrorists	恐怖分子
terrorize	恐吓
terrorized	被恐吓的
terrorizes	恐吓
terrorizing	恐吓的
terrors	恐怖
terry	特里
terse	简洁
tertian	间日
tertiary	第三
terylene	涤纶
tesco	乐购
tesla	特斯拉
tess	苔丝
tessellated	镶嵌
tessellation	镶嵌
tessie	泰西
test	测试
